Service Delay,Conflicting Flow(P/m), Proportation of 3W&4W
9,14.39,16.21621622
24,14.3,50
13,5.2,6.25
17,26.65,29.8245614
11,19.06,29.26829268
12,19.06,29.26829268
10,3.44,25
23,28.5,23.52941176
20,24.4,20
19,26,48.14814815
19,22.3,16.66666667
11,14.49,23.52941176
12,14.49,23.52941176
8,11.37,17.85714286
18,24.97,39.02439024
17,22.5,34.7826087
12,20.2,40
16,20.2,40
23,20.2,40
7,17.87,36.11111111
10,17.87,36.11111111
13,14.91,40
12,12.46,34.7826087
16,12.46,34.7826087
7,11.07,17.85714286
16,18.84,21.95121951
8,16.91,31.42857143
18,30.17,41.07142857
14,24.58,45.23809524
22,20.8,31.57894737
13,16.41,17.07317073
17,12.66,23.07692308
28,31.3,44
11,16.53,22.22222222
12,13.3,40
21,29.32,29.41176471
20,27.3,38.23529412
9,15.77,30.3030303
8,22.69,31.11111111
22,20.98,51.42857143
17,24.2,31.03448276
18,20,43.7
11,14.35,31.03448276
6,9.95,10.71428571
9,9,41.17647059
20,21.3,26.08695652
11,21.11,22
19,20.3,26.08695652
15,15.75,40.74074074
9,13.6,31.03448276
14,7.3,41.5
36,28.59,59
25,25,44.8
24,28.14,51.2
11,25.31,37.5
14,14.63,29.03225806
15,13.07,23.33333333
5,10.64,19.23076923
14,8.15,37.5
15,8.15,37.5
8,8.07,14.28571429
37,35.4,56.8
20,27.7,37.14285714
22,27.7,37.14285714
21,23.7,20.45454545
22,24.3,41.37931034
12,17.74,38.23529412
13,17.74,38.23529412
16,17.74,38.23529412
14,17.73,37.14285714
11,16.94,27.77777778
11,14.86,36.66666667
13,14.86,36.66666667
11,12.19,40
12,11.05,23.07692308
10,10.62,25
10,10.35,20
12,5.93,5.555555556
24,28.8,45.94594595
11,21.17,41.02564103
6,14.18,29.03225806
13,11.07,25
10,9.78,27.77777778
18,29.4,13.8
13,22.62,47.22222222
13,12.89,27.5862069
5,10.92,25
12,9.08,12
35,36.2,12.8
15,29.66,6.8
20,21.23,29.26829268
24,21.23,51.3
11,19.76,30.95238095
13,15.34,25.71428571
8,15.09,18.42105263
8,11.18,29.16666667
17,27.1,24.3902439
24,26.56,55.7
20,23.1,16.66666667
21,20.7,40
13,8.87,31.57894737
6,7.36,9.523809524
22,29.49,37.73584906
16,26.5,35.71428571
15,25,5.263157895
13,16.75,30.55555556
6,13.77,25.80645161
16,31.4,8.333333333
22,25.4,21.73913043
14,19.09,21.73913043
12,12.84,11.42857143
9,11.64,22.22222222
14,21.33,16.27906977
12,16.65,23.07692308
13,16.59,26.92307692
8,15.76,29.41176471
32,35.5,55.4
17,18.1,41.37931034
8,9.74,38.88888889
11,6.28,41.66666667
21,25.6,29.62962963
17,22.8,29.62962963
6,17.78,32.35294118
6,14.78,29.03225806
22,21,28.88888889
8,20.24,33.33333333
14,10.08,15.38461538
16,27.35,12.4
11,21.51,32.55813953
18,20.62,33.33333333
33,31.1,58.5
23,29.45,55.8
12,17.32,34.28571429
22,11.14,53.2
23,25.63,34
15,22.6,34
24,27.5,52.5
22,21,50
8,7.52,12.5
14,6.32,18.75
19,25,18.91891892
14,23.9,25.80645161
15,23.9,25.80645161
10,14.95,18.91891892
15,14.95,18.91891892
11,7.38,4.347826087
10,5.9,23.07692308
19,33.4,24
20,23.3,23.33333333
16,13.37,23.33333333
11,7.19,15.78947368
23,31.5,39.28571429
23,24.5,54
17,18.44,40
9,11.05,23.07692308
14,10.89,30.43478261
19,27.4,30
15,17.44,38.23529412
26,34.2,52.2
28,29.1,59.6
25,28.5,57
29,27.5,54.3
21,27.1,24.32432432
21,21.59,50
29,31.2,58
8,16.51,29.41176471
11,16.21,8.2
8,8.49,15
26,36.7,50
27,31.2,56.4
31,29.3,54.3
20,28.6,43.75
25,27.6,43.75
19,27.5,28.94736842
16,19.38,50
16,17.57,43.75
10,17.48,28.94736842
32,29.54,56.7
10,6.05,11.76470588
14,24.75,37.5
25,22.5,37.5
21,20.45,37.5
16,19.6,35.8974359
9,8.58,46.1
18,16.2,28.57142857
31,34.3,58
30,33.1,58.7
21,26.7,15.78947368
7,16.74,15.78947368
5,13.52,23.33333333
11,12.1,16.66666667
33,32.9,60
19,27.8,46.875
20,27.8,46.875
20,20.44,26.31578947
21,20.44,26.31578947
22,20.44,26.31578947
21,17.83,46.875
22,17.83,46.875
21,23.2,26.92307692
9,8.31,26.31578947
25,25.4,51.7
15,17.15,39.39393939
16,17.15,39.39393939
15,11.48,21.42857143
13,5.2,6.25
11,24.55,28
14,16.48,33.33333333
15,25,33.92857143
33,31.1,55
12,9.68,6.896551724
14,20.43,7
13,11.32,28
13,9.49,16
19,28.3,28.94736842
18,18.34,28.94736842
12,11.96,12.12121212
12,9.68,6.896551724
19,26.7,27.27272727
9,18.06,41.8
19,18.06,42.1
11,18.06,44.8
34,33.5,62
10,11.2,23.07692308
12,23.14,30.43478261
14,13.22,23.33333333
