SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
17,27.11,734.9521,3.571428571,12.75510204
17,11.71,137.1241,21.05263158,443.2132964
17,19.72,388.8784,17.64705882,311.4186851
17,23.17,536.8489,6.52173913,42.53308129
17,26.56,705.4336,1.818181818,3.305785124
17,8.89,79.0321,23.52941176,553.633218
17,22.87,523.0369,14.63414634,214.1582391
17,22.25,495.0625,14.58333333,212.6736111
17,22.25,495.0625,14.58333333,212.6736111
17,25.13,631.5169,13.95348837,194.6998378
17,21.14,446.8996,10.52631579,110.8033241
17,26.32,692.7424,10.41666667,108.5069444
17,22.41,502.2081,21.27659574,452.6935265
17,20.23,409.2529,12.90322581,166.4932362
17,16.99,288.6601,10,100
17,26.57,705.9649,17.77777778,316.0493827
17,18.86,355.6996,11.76470588,138.4083045
17,16.13,260.1769,7.692307692,59.17159763
17,18.16,329.7856,11.76470588,138.4083045
17,22.6,510.76,4.347826087,18.90359168
18,33.55,1125.6025,14.28571429,204.0816327
18,22.34,499.0756,8.695652174,75.61436673
18,24.06,578.8836,29.03225806,842.8720083
18,26.47,700.6609,25.54545455,652.5702479
18,25.77,664.0929,21.27659574,452.6935265
18,22.32,498.1824,20,400
18,23.61,557.4321,15.78947368,249.3074792
18,26.91,724.1481,15.55555556,241.9753086
18,17.61,310.1121,8.333333333,69.44444444
18,23.04,530.8416,6.382978723,40.74241738
18,16.46,270.9316,2.857142857,8.163265306
18,23.52,553.1904,16.66666667,277.7777778
28,37.47,1404.0009,28.57142857,816.3265306
28,31.94,1020.1636,25.53191489,651.8786781
28,20.46,418.6116,12.82051282,164.365549
28,36.4,1324.96,27.69230769,766.8639053
28,28.52,813.3904,24.52830189,601.6375934
29,25.6,655.36,21.20408163,449.6130779
29,33.35,1112.2225,26.30232558,691.812331
29,32.99,1088.3401,27.89473684,778.1163435
29,34.02,1157.3604,28,784
29,32.19,1036.1961,13.1147541,171.9967751
29,30.29,917.4841,22.32876712,498.5738412
30,21.99,483.5601,19.61538462,384.7633136
30,24.94,622.0036,14.58333333,212.6736111
30,32.67,1067.3289,24.28571429,589.7959184
30,22.59,510.3081,19.30232558,372.5797729
30,22.59,510.3081,19.30232558,372.5797729
30,26.47,700.6609,29.54545455,872.9338843
30,29.94,896.4036,27.01754386,729.9476762
30,26.69,712.3561,25.25,637.5625
30,34.77,1208.9529,22.5,506.25
30,32.63,1064.7169,17.64705882,311.4186851
30,26.23,688.0129,22.96296296,527.297668
31,34.31,1177.1761,26.81818182,719.214876
31,24.48,599.2704,17.39130435,302.4574669
31,33.83,1144.4689,27.43396226,752.6222855
31,25.51,650.7601,21.96078431,482.2760477
31,24.43,596.8249,19.09090909,364.4628099
31,36.6,1339.56,18.03225806,325.1623309
31,30.75,945.5625,12.06896552,145.6599287
31,28.47,810.5409,20.57142857,423.1836735
31,34.16,1166.9056,20,400
31,32.47,1054.3009,21.08163265,444.4352353
31,35.24,1241.8576,17.46031746,304.8626858
32,33.83,1144.4689,26.25,689.0625
32,34.85,1214.5225,25.08474576,629.24447
32,32.41,1050.4081,21.27659574,452.6935265
32,36.69,1346.1561,14.58333333,212.6736111
32,36.02,1297.4404,28,784
32,30.75,945.5625,12.06896552,145.6599287
32,36.99,1368.2601,29,841
32,36,1296,26.47058824,700.6920415
32,26.54,704.3716,26.47058824,700.6920415
32,32.6,1062.76,22.34782609,499.4253308
33,35.67,1272.3489,27.27272727,743.8016529
33,34.03,1158.0409,14.81481481,219.478738
33,24.91,620.5081,27.77777778,771.6049383
33,33.99,1155.3201,23.33333333,544.4444444
34,36.29,1316.9641,29.03225806,842.8720083
34,36.21,1311.1641,28.125,791.015625
34,30.99,960.3801,27.77777778,771.6049383
34,36.99,1368.2601,18.61538462,346.5325444
35,31.21,974.0641,28.57142857,816.3265306
35,38.04,1447.0416,20.54794521,422.2180522
35,35.67,1272.3489,29.54545455,872.9338843
35,29.18,851.4724,28.57142857,816.3265306
28,36.4,1324.96,27.69230769,766.8639053
28,28.52,813.3904,24.52830189,601.6375934
29,25.6,655.36,21.20408163,449.6130779
29,33.35,1112.2225,26.30232558,691.812331
29,32.99,1088.3401,27.89473684,778.1163435
29,34.02,1157.3604,28,784
29,32.19,1036.1961,13.1147541,171.9967751
29,30.29,917.4841,22.32876712,498.5738412
30,21.99,483.5601,19.61538462,384.7633136
30,22.59,510.3081,19.30232558,372.5797729
30,22.59,510.3081,19.30232558,372.5797729
30,26.47,700.6609,29.54545455,872.9338843
30,29.94,896.4036,27.01754386,729.9476762
30,26.69,712.3561,25.25,637.5625
