SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
23,22.1,490.18,33.3,33.3,33.3
16,2.1,4.58,33.3,33.3,33.3
19,23.5,553.66,72.5,15.7,11.8
23,23.5,553.66,72.5,15.7,11.8
8,16.1,258.24,62.1,3.4,34.5
4,3.1,9.55,68.4,7.9,23.7
15,4.3,18.58,81.8,18.2,0.0
13,7.3,53.29,45.5,9.1,45.5
21,24.8,617.03,70.6,7.8,21.6
13,12.9,166.93,69.2,7.7,23.1
15,12.9,166.93,69.2,7.7,23.1
8,11.4,130.87,55.0,25.0,20.0
19,11.4,130.87,55.0,25.0,20.0
8,11.7,136.42,87.1,3.2,9.7
7,10.4,107.33,79.2,4.2,16.7
12,10.4,107.33,79.2,4.2,16.7
13,19.9,397.20,67.5,15.0,17.5
21,26.8,719.85,68.5,11.1,20.4
6,16.2,262.12,65.6,18.8,15.6
24,16.2,262.12,65.6,18.8,15.6
8,13.2,174.50,70.4,7.4,22.2
3,16.2,261.47,50.0,15.4,34.6
6,16.2,261.47,50.0,15.4,34.6
9,18.9,355.70,46.7,26.7,26.7
11,11.5,132.94,71.5,13.7,11.1
15,12.3,150.31,87.9,3.0,9.1
31,30.7,940.04,40.4,40.4,19.1
27,26.4,696.43,40.0,37.5,22.5
7,11.8,139.95,73.9,8.7,8.7
20,26.5,704.37,40.0,35.0,25.0
7,16.2,263.09,62.1,20.7,13.8
17,16.2,263.09,62.1,20.7,13.8
9,13.1,170.82,76.7,13.3,10.0
7,6.3,40.07,80.0,6.7,13.3
10,6.3,40.07,80.0,6.7,13.3
11,6.3,40.07,80.0,6.7,13.3
17,2.5,6.00,83.3,0.0,16.7
15,14.1,197.68,58.3,8.3,29.2
6,18.5,342.62,72.5,15.0,12.5
8,4.8,22.56,83.3,8.3,8.3
8,16.7,277.56,70.6,5.9,23.5
13,16.7,277.56,70.6,5.9,23.5
11,12.3,152.28,75.0,17.9,7.1
16,15.2,231.95,63.0,14.8,18.5
23,30.1,903.00,61.4,24.6,14.0
26,25.9,670.29,57.1,27.0,15.9
17,13.4,179.56,74.1,7.4,14.8
13,7.6,58.22,85.0,10.0,5.0
9,2.3,5.29,83.3,16.7,0.0
34,31.0,962.86,70.0,30.0,0.0
18,25.0,623.50,56.1,24.4,14.6
21,30.2,910.23,58.9,28.6,12.5
25,30.2,910.23,58.9,28.6,12.5
12,3.9,15.21,68.9,22.0,9.1
28,28.5,810.54,56.0,22.0,22.0
8,22.7,514.84,68.9,4.4,26.7
8,3.6,12.89,75.0,12.5,12.5
2,8.1,65.12,85.7,4.8,9.5
11,16.9,286.96,72.2,11.1,16.7
2,10.4,107.12,80.0,12.0,8.0
5,11.1,122.54,75.0,4.2,20.8
5,10.9,119.25,75.0,8.3,16.7
5,9.1,82.45,88.0,8.0,4.0
11,2.7,7.40,60.0,20.0,20.0
12,12.8,164.87,78.6,12.9,8.6
9,11.6,135.49,77.8,11.1,11.1
13,4.2,17.56,73.7,18.0,8.3
32,28.5,811.68,49.5,35.1,10.3
8,9.7,94.87,61.1,16.7,22.2
6,14.8,218.45,71.0,12.9,16.1
8,20.2,409.66,46.7,25.1,28.2
11,21.5,462.68,67.4,14.0,18.6
32,29.7,880.31,48.3,38.3,13.3
10,5.9,34.81,66.9,10.0,23.1
28,26.1,679.12,70.4,11.1,18.5
8,16.5,272.58,70.6,8.8,20.6
5,13.5,182.79,76.7,3.3,20.0
4,16.5,271.59,66.7,18.2,15.2
17,5.6,31.47,75.0,0.0,25.0
14,20.4,417.38,82.4,9.8,7.8
